method_id,name,description,updated_at,created_at
METHOD-01,โอนเงิน,โอนเงิน,2023-09-01 16:22:48.075394,2023-09-01 16:22:48.075394
METHOD-02,บัตรเครดิต,บัตรเครดิต,2023-09-01 16:22:48.075394,2023-09-01 16:22:48.075394
