"condition_id","name_th","name_en","description_th","description_en"
"REVIEWED","เมื่อรีวิวในระบบ","review"," จะใช้งาน Voucher นี้ได้ก็ต่อเมื่อมีการรีวิวแล้วเท่านั้น",
"FIRST_TIME","รับบริการครั้งแรก","first time"," จะใช้งาน Voucher นี้ได้ก็ต่อเมื่อเป็นการเข้าใช้บริการครั้งแรก ยังไม่เคยมีการใช้
บริการในชื่อนี้อยู่ในระบบ",
